,Mito,ConA,WGA,DAPI,Phalloidin,Sum
SOBP,12.0,11.0,15.0,24.0,34.0,101.0
SOCS5,31.0,26.0,27.0,23.0,19.0,135.0
SOD1,24.0,16.0,23.0,56.0,23.0,150.0
SORBS1,24.0,16.0,23.0,55.0,16.0,143.0
SOS2,44.0,20.0,28.0,18.0,12.0,127.0
SOX10,16.0,9.0,19.0,23.0,33.0,104.0
SOX9,30.0,17.0,39.0,26.0,15.0,142.0
SP1,29.0,26.0,14.0,29.0,29.0,134.0
SP9,14.0,14.0,13.0,21.0,32.0,108.0
SPAG1,37.0,23.0,20.0,28.0,22.0,136.0
SPANXC,13.0,13.0,18.0,15.0,32.0,97.0
SPANXD,16.0,15.0,54.0,22.0,26.0,134.0
SPATA32,33.0,15.0,19.0,58.0,25.0,166.0
SPATA4,39.0,25.0,18.0,34.0,16.0,142.0
SPATA7,35.0,21.0,20.0,44.0,39.0,162.0
SPDL1,19.0,9.0,14.0,22.0,36.0,114.0
SPDYE1,31.0,14.0,33.0,55.0,18.0,157.0
SPDYE2,19.0,9.0,21.0,30.0,67.0,152.0
SPDYE3,23.0,21.0,39.0,26.0,39.0,145.0
SPDYE5,17.0,17.0,19.0,66.0,16.0,136.0
SPECC1,15.0,10.0,39.0,26.0,39.0,138.0
SPEF1,20.0,12.0,15.0,18.0,40.0,118.0
SPIN4,26.0,28.0,62.0,18.0,14.0,155.0
SPN,22.0,24.0,31.0,31.0,16.0,125.0
SPOCD1,18.0,19.0,18.0,80.0,15.0,158.0
SPOPL,20.0,12.0,53.0,17.0,10.0,110.0
SPRED3,21.0,12.0,37.0,16.0,68.0,159.0
SPRR2D,25.0,24.0,15.0,37.0,25.0,121.0
SPRTN,43.0,19.0,24.0,42.0,21.0,159.0
SPRYD4,23.0,16.0,28.0,64.0,25.0,162.0
SPSB1,36.0,15.0,20.0,25.0,40.0,127.0
SPTAN1,33.0,21.0,15.0,58.0,18.0,162.0
SPTSSA,23.0,15.0,43.0,20.0,14.0,115.0
SPX,22.0,12.0,59.0,33.0,31.0,160.0
SQLE,16.0,10.0,38.0,43.0,10.0,122.0
SRBD1,33.0,26.0,31.0,27.0,24.0,147.0
SRF,27.0,13.0,62.0,28.0,28.0,164.0
SRP54,29.0,19.0,20.0,32.0,66.0,166.0
SRPX2,47.0,19.0,15.0,20.0,30.0,139.0
SRRD,18.0,10.0,14.0,16.0,71.0,136.0
SRSF10,20.0,20.0,42.0,14.0,11.0,107.0
SRSF4,12.0,12.0,15.0,20.0,54.0,122.0
SS18,19.0,18.0,22.0,48.0,36.0,150.0
SSB,25.0,10.0,24.0,65.0,17.0,166.0
SSU72,31.0,20.0,15.0,66.0,25.0,157.0
SSUH2,25.0,15.0,22.0,57.0,22.0,148.0
ST3GAL5,23.0,13.0,27.0,81.0,18.0,166.0
ST6GAL2,19.0,20.0,23.0,62.0,16.0,148.0
ST6GALNAC1,21.0,10.0,15.0,16.0,38.0,105.0
ST6GALNAC2,33.0,17.0,17.0,65.0,18.0,162.0
ST6GALNAC3,33.0,28.0,19.0,15.0,20.0,123.0
ST6GALNAC6,18.0,10.0,15.0,62.0,29.0,145.0
ST7,32.0,26.0,17.0,14.0,28.0,120.0
ST8SIA1,43.0,20.0,26.0,19.0,25.0,139.0
STAG1,22.0,20.0,19.0,30.0,39.0,147.0
STAM2,40.0,16.0,31.0,28.0,17.0,128.0
STARD3,27.0,16.0,12.0,72.0,24.0,163.0
STARD5,27.0,18.0,26.0,58.0,14.0,152.0
STARD7,22.0,14.0,44.0,37.0,32.0,163.0
STK10,13.0,10.0,14.0,23.0,33.0,93.0
STK11IP,25.0,24.0,18.0,16.0,14.0,106.0
STK35,14.0,19.0,56.0,32.0,26.0,157.0
STRIP1,25.0,22.0,15.0,57.0,20.0,152.0
STRN3,16.0,11.0,18.0,14.0,35.0,95.0
STRN4,26.0,30.0,20.0,13.0,14.0,109.0
STT3B,27.0,30.0,58.0,19.0,10.0,148.0
STUB1,19.0,16.0,26.0,16.0,47.0,123.0
STX11,37.0,21.0,21.0,26.0,19.0,129.0
STX18,16.0,10.0,28.0,32.0,41.0,142.0
STX3,14.0,10.0,16.0,16.0,35.0,102.0
STX5,9.0,9.0,43.0,18.0,9.0,90.0
STX7,40.0,22.0,15.0,32.0,16.0,127.0
STXBP4,30.0,26.0,13.0,25.0,12.0,112.0
STXBP6,16.0,11.0,53.0,20.0,11.0,117.0
STYK1,23.0,18.0,19.0,26.0,34.0,115.0
SUCLG2,21.0,16.0,38.0,41.0,31.0,158.0
SUGCT,13.0,11.0,22.0,11.0,38.0,106.0
SULF2,8.0,10.0,11.0,19.0,41.0,95.0
SULT1A3,19.0,38.0,19.0,24.0,25.0,128.0
SULT2B1,16.0,10.0,27.0,31.0,45.0,131.0
SUMO1,13.0,14.0,34.0,21.0,41.0,125.0
SUPT4H1,21.0,14.0,33.0,20.0,34.0,127.0
SUPT5H,12.0,10.0,29.0,24.0,70.0,150.0
SUPT6H,18.0,11.0,44.0,53.0,25.0,153.0
SUPV3L1,51.0,13.0,26.0,37.0,47.0,159.0
SURF2,29.0,17.0,40.0,24.0,16.0,134.0
SUSD2,24.0,11.0,43.0,14.0,26.0,123.0
SUSD4,33.0,34.0,28.0,44.0,16.0,154.0
SUSD6,25.0,24.0,22.0,11.0,16.0,105.0
SUV39H2,20.0,14.0,19.0,64.0,9.0,127.0
SUZ12,14.0,10.0,43.0,23.0,28.0,124.0
SVIP,29.0,15.0,18.0,60.0,18.0,135.0
SWSAP1,21.0,12.0,19.0,69.0,17.0,143.0
SYK,12.0,5.0,17.0,11.0,39.0,83.0
SYNCRIP,30.0,9.0,37.0,20.0,20.0,120.0
SYNGR2,26.0,15.0,25.0,68.0,16.0,150.0
SYT8,28.0,21.0,19.0,65.0,19.0,150.0
TADA2B,18.0,12.0,40.0,23.0,32.0,141.0
TAF1,13.0,14.0,11.0,69.0,27.0,139.0
TAF10,32.0,14.0,42.0,24.0,27.0,147.0
TAF1B,42.0,17.0,18.0,57.0,12.0,160.0
TAF5L,15.0,8.0,25.0,17.0,94.0,153.0
TAF7,17.0,10.0,47.0,27.0,45.0,156.0
TAGLN2,22.0,16.0,19.0,47.0,39.0,156.0
TAL2,28.0,54.0,27.0,29.0,18.0,147.0
TANC1,38.0,17.0,11.0,23.0,20.0,129.0
TARBP2,16.0,10.0,34.0,33.0,39.0,145.0
TAS2R50,22.0,16.0,17.0,27.0,33.0,116.0
TASP1,26.0,16.0,22.0,46.0,36.0,153.0
TAX1BP3,19.0,21.0,21.0,65.0,12.0,159.0
TAZ,40.0,30.0,14.0,16.0,8.0,111.0
TBC1D15,30.0,25.0,39.0,35.0,13.0,158.0
TBC1D17,24.0,18.0,26.0,54.0,17.0,135.0
TBCB,13.0,12.0,13.0,20.0,32.0,94.0
TBCE,9.0,10.0,18.0,30.0,48.0,123.0
TBL1XR1,29.0,14.0,9.0,33.0,46.0,143.0
TBL2,35.0,40.0,18.0,26.0,25.0,142.0
TBX15,13.0,24.0,14.0,8.0,12.0,72.0
TBX2,10.0,13.0,14.0,72.0,20.0,147.0
TBX20,32.0,25.0,22.0,36.0,34.0,159.0
TBXA2R,29.0,18.0,18.0,53.0,19.0,143.0
TCAF1,17.0,10.0,15.0,12.0,33.0,95.0
TCP1,37.0,14.0,58.0,26.0,19.0,162.0
TEAD1,24.0,15.0,26.0,42.0,56.0,165.0
TEKT2,36.0,36.0,37.0,18.0,11.0,136.0
TENM2,30.0,25.0,51.0,42.0,13.0,166.0
TEX14,45.0,23.0,22.0,34.0,18.0,144.0
TFAM,16.0,10.0,32.0,21.0,33.0,122.0
TFAP2C,25.0,27.0,14.0,18.0,11.0,96.0
TFB1M,17.0,12.0,36.0,21.0,50.0,137.0
TFDP1,35.0,24.0,26.0,17.0,14.0,124.0
TFF3,23.0,13.0,39.0,43.0,16.0,138.0
TGDS,16.0,19.0,20.0,34.0,50.0,146.0
TGFB3,23.0,27.0,25.0,45.0,20.0,148.0
TGFBR2,36.0,14.0,18.0,13.0,64.0,147.0
TGM2,42.0,33.0,19.0,32.0,12.0,151.0
THAP11,34.0,30.0,16.0,18.0,11.0,110.0
THAP6,24.0,36.0,50.0,19.0,18.0,161.0
THEMIS,27.0,22.0,54.0,19.0,32.0,166.0
THOC1,24.0,19.0,37.0,32.0,12.0,131.0
THRB,14.0,9.0,13.0,12.0,35.0,87.0
TICRR,36.0,25.0,29.0,41.0,26.0,162.0
TIGD1,33.0,11.0,23.0,75.0,16.0,166.0
TIGD6,26.0,16.0,16.0,69.0,18.0,148.0
TIMM10,36.0,17.0,10.0,78.0,17.0,163.0
TIMM13,21.0,13.0,41.0,38.0,28.0,145.0
TIMM22,46.0,18.0,16.0,22.0,21.0,133.0
TIMM23B,19.0,11.0,48.0,24.0,60.0,159.0
TIMM50,34.0,32.0,32.0,26.0,29.0,159.0
TIMM8A,15.0,33.0,13.0,14.0,11.0,92.0
TINF2,20.0,20.0,20.0,60.0,22.0,153.0
TIPIN,23.0,19.0,43.0,22.0,32.0,143.0
TK2,28.0,18.0,22.0,26.0,43.0,147.0
TLCD2,19.0,11.0,47.0,30.0,33.0,136.0
TLDC1,33.0,25.0,44.0,14.0,25.0,140.0
TLE1,27.0,12.0,22.0,36.0,51.0,151.0
TLK2,38.0,12.0,42.0,16.0,17.0,136.0
TLL1,26.0,14.0,32.0,58.0,18.0,157.0
TLN2,27.0,16.0,55.0,18.0,19.0,133.0
TLX2,24.0,26.0,20.0,71.0,16.0,161.0
TM2D1,40.0,17.0,21.0,29.0,17.0,122.0
TM4SF4,39.0,20.0,16.0,36.0,16.0,128.0
TM9SF1,22.0,30.0,33.0,49.0,14.0,153.0
TM9SF3,16.0,12.0,54.0,43.0,18.0,147.0
TMCC2,34.0,44.0,25.0,32.0,32.0,164.0
TMEM102,15.0,12.0,19.0,19.0,39.0,111.0
TMEM106C,21.0,11.0,14.0,60.0,12.0,124.0
TMEM126A,30.0,27.0,14.0,17.0,10.0,99.0
TMEM126B,33.0,14.0,26.0,33.0,35.0,149.0
TMEM139,15.0,9.0,19.0,18.0,34.0,104.0
TMEM151A,26.0,12.0,20.0,32.0,34.0,122.0
TMEM160,11.0,8.0,16.0,21.0,33.0,103.0
TMEM184A,45.0,30.0,30.0,38.0,17.0,161.0
TMEM187,16.0,15.0,37.0,30.0,22.0,124.0
TMEM19,43.0,24.0,17.0,21.0,25.0,135.0
TMEM240,37.0,21.0,21.0,24.0,12.0,117.0
TMEM242,34.0,26.0,16.0,10.0,12.0,102.0
TMEM251,41.0,31.0,13.0,20.0,22.0,135.0
TMEM255A,19.0,11.0,25.0,30.0,50.0,154.0
TMEM255B,35.0,13.0,62.0,21.0,16.0,149.0
TMEM37,25.0,27.0,9.0,13.0,10.0,88.0
TMEM45A,26.0,13.0,40.0,27.0,19.0,135.0
TMEM54,44.0,31.0,32.0,22.0,19.0,156.0
TMEM64,24.0,17.0,20.0,54.0,19.0,143.0
TMEM69,16.0,25.0,13.0,11.0,17.0,86.0
TMEM79,29.0,16.0,39.0,21.0,22.0,131.0
TMEM88,16.0,9.0,17.0,28.0,40.0,127.0
TMEM92,22.0,12.0,24.0,62.0,19.0,143.0
TMF1,30.0,17.0,37.0,31.0,20.0,144.0
TMSB4X,15.0,19.0,16.0,53.0,16.0,130.0
TNFRSF10A,25.0,19.0,19.0,45.0,32.0,140.0
TNFRSF6B,22.0,10.0,26.0,22.0,34.0,120.0
TNIP3,43.0,23.0,21.0,21.0,16.0,136.0
TNPO3,18.0,13.0,24.0,25.0,57.0,142.0
TOMM20,81.0,14.0,21.0,21.0,24.0,166.0
TOMM34,20.0,14.0,18.0,54.0,15.0,130.0
TOMM6,20.0,17.0,25.0,31.0,58.0,151.0
TONSL,27.0,13.0,22.0,56.0,24.0,157.0
TOP1,21.0,18.0,53.0,35.0,22.0,149.0
TOR4A,29.0,16.0,19.0,52.0,39.0,163.0
TP53,26.0,18.0,32.0,55.0,11.0,141.0
TP53I13,23.0,14.0,14.0,78.0,20.0,149.0
TP53TG3C,15.0,18.0,25.0,69.0,11.0,142.0
TPBG,45.0,16.0,18.0,18.0,13.0,113.0
TPCN2,22.0,18.0,15.0,16.0,39.0,114.0
TPM2,19.0,15.0,32.0,53.0,12.0,130.0
TPPP3,27.0,18.0,39.0,35.0,17.0,146.0
TPR,19.0,10.0,18.0,41.0,33.0,129.0
TRAF3,25.0,29.0,58.0,40.0,17.0,160.0
TRAM2,22.0,13.0,39.0,19.0,36.0,128.0
TRAPPC1,12.0,14.0,21.0,12.0,32.0,94.0
TRAPPC3,13.0,16.0,15.0,16.0,32.0,95.0
TREX2,19.0,10.0,40.0,14.0,24.0,116.0
TRIM21,9.0,11.0,12.0,18.0,46.0,104.0
TRIM24,30.0,17.0,29.0,64.0,14.0,161.0
TRIM25,18.0,9.0,54.0,19.0,16.0,120.0
TRIM29,15.0,11.0,9.0,54.0,9.0,108.0
TRIM37,16.0,11.0,60.0,30.0,22.0,134.0
TRIM50,27.0,17.0,81.0,16.0,21.0,156.0
TRIM56,22.0,12.0,25.0,22.0,57.0,143.0
TRIM67,22.0,14.0,13.0,53.0,18.0,125.0
TRIM73,25.0,12.0,31.0,30.0,46.0,160.0
TRMT112,23.0,30.0,26.0,35.0,17.0,137.0
TROVE2,27.0,17.0,38.0,21.0,40.0,148.0
TSC2,32.0,27.0,20.0,35.0,26.0,153.0
TSEN54,47.0,20.0,16.0,49.0,12.0,153.0
TSGA10IP,22.0,11.0,36.0,75.0,14.0,159.0
TSHZ1,30.0,23.0,65.0,26.0,16.0,157.0
TSPAN1,37.0,20.0,22.0,24.0,24.0,134.0
TSPAN14,22.0,15.0,38.0,50.0,16.0,148.0
TSPAN5,16.0,12.0,16.0,63.0,17.0,138.0
TSPO,32.0,31.0,19.0,26.0,21.0,130.0
TTC1,51.0,27.0,31.0,29.0,16.0,160.0
TTC27,12.0,12.0,13.0,17.0,46.0,108.0
TTC31,44.0,22.0,21.0,40.0,24.0,158.0
TTC38,36.0,27.0,10.0,12.0,11.0,95.0
TTLL3,26.0,17.0,42.0,35.0,17.0,153.0
TTLL6,21.0,9.0,46.0,20.0,15.0,118.0
TUBB4B,26.0,19.0,50.0,29.0,21.0,150.0
TUBE1,18.0,12.0,38.0,17.0,17.0,110.0
TUBG1,24.0,10.0,16.0,57.0,15.0,131.0
TUBGCP4,21.0,16.0,29.0,78.0,18.0,161.0
TULP4,12.0,10.0,24.0,27.0,37.0,118.0
TWF1,41.0,19.0,23.0,19.0,18.0,134.0
TXLNG,14.0,10.0,45.0,33.0,24.0,132.0
TXN2,14.0,11.0,9.0,17.0,36.0,92.0
TXNDC11,29.0,20.0,17.0,55.0,17.0,146.0
TXNDC15,14.0,11.0,37.0,28.0,19.0,106.0
TXNL1,21.0,13.0,14.0,58.0,19.0,133.0
TYK2,34.0,20.0,21.0,15.0,34.0,125.0
U2AF1,38.0,22.0,26.0,35.0,22.0,138.0
UBE2D3,32.0,29.0,21.0,35.0,20.0,138.0
UBE2E1,23.0,36.0,31.0,27.0,16.0,148.0
UBE2J2,33.0,28.0,25.0,21.0,15.0,122.0
UBE2M,20.0,16.0,24.0,24.0,37.0,123.0
UBE2W,23.0,18.0,24.0,55.0,11.0,150.0
UBQLNL,38.0,16.0,26.0,34.0,25.0,142.0
UBR5,26.0,33.0,20.0,11.0,22.0,120.0
UCK1,42.0,19.0,34.0,20.0,24.0,150.0
UCKL1,35.0,26.0,28.0,39.0,17.0,151.0
UCP1,16.0,11.0,21.0,57.0,18.0,140.0
UEVLD,38.0,17.0,34.0,20.0,11.0,126.0
UFSP1,17.0,12.0,16.0,17.0,32.0,102.0
UGT1A10,18.0,16.0,53.0,22.0,22.0,135.0
UHRF1BP1,28.0,28.0,20.0,33.0,33.0,141.0
UHRF1BP1L,14.0,8.0,14.0,24.0,41.0,115.0
ULK1,40.0,26.0,14.0,28.0,15.0,121.0
ULK4,21.0,15.0,40.0,60.0,11.0,164.0
UMPS,23.0,24.0,24.0,32.0,12.0,115.0
UNC119B,31.0,23.0,14.0,55.0,18.0,143.0
UNC13D,18.0,15.0,17.0,83.0,11.0,143.0
UNC50,16.0,21.0,45.0,27.0,17.0,131.0
UPK3B,29.0,11.0,39.0,26.0,33.0,142.0
UPK3BL2,27.0,17.0,42.0,39.0,33.0,165.0
UQCR10,33.0,17.0,14.0,33.0,45.0,158.0
UQCRQ,30.0,17.0,46.0,31.0,25.0,161.0
URGCP-MRPS24,31.0,34.0,19.0,12.0,14.0,112.0
URM1,41.0,28.0,14.0,20.0,18.0,121.0
USB1,21.0,15.0,30.0,29.0,54.0,157.0
USP16,45.0,19.0,24.0,18.0,15.0,123.0
USP34,22.0,30.0,29.0,18.0,11.0,121.0
USP39,26.0,12.0,40.0,51.0,29.0,164.0
USP42,22.0,18.0,42.0,27.0,38.0,161.0
USP43,17.0,8.0,25.0,18.0,48.0,120.0
USP7,34.0,16.0,17.0,60.0,17.0,158.0
USP8,26.0,16.0,80.0,24.0,20.0,166.0
UTP15,40.0,15.0,42.0,29.0,17.0,143.0
UTY,26.0,17.0,38.0,28.0,42.0,152.0
UVSSA,38.0,16.0,15.0,20.0,27.0,118.0
VARS,17.0,14.0,27.0,41.0,54.0,161.0
VAV1,14.0,14.0,13.0,12.0,34.0,93.0
VCL,23.0,24.0,23.0,29.0,15.0,112.0
VCP,16.0,11.0,21.0,15.0,34.0,102.0
VCPKMT,24.0,17.0,35.0,41.0,32.0,145.0
VDAC3,37.0,14.0,24.0,24.0,11.0,116.0
VEGFA,27.0,14.0,19.0,62.0,20.0,146.0
VGLL3,29.0,26.0,18.0,22.0,16.0,121.0
VMAC,38.0,27.0,23.0,24.0,30.0,143.0
VMO1,20.0,13.0,14.0,57.0,26.0,137.0
VNN2,19.0,16.0,38.0,20.0,44.0,146.0
VPS13D,34.0,19.0,26.0,27.0,56.0,160.0
VPS16,22.0,11.0,43.0,21.0,17.0,116.0
VPS35,23.0,14.0,39.0,43.0,24.0,147.0
VPS37A,18.0,13.0,41.0,40.0,17.0,124.0
VPS39,24.0,16.0,31.0,24.0,35.0,134.0
VPS51,16.0,12.0,65.0,48.0,13.0,157.0
VTI1B,32.0,18.0,20.0,56.0,21.0,151.0
VWA3A,27.0,14.0,39.0,29.0,15.0,125.0
WAS,34.0,32.0,24.0,34.0,21.0,149.0
WBP1L,18.0,16.0,17.0,76.0,14.0,140.0
WBP2,36.0,33.0,35.0,14.0,28.0,157.0
WDR11,22.0,23.0,38.0,22.0,34.0,141.0
WDR12,40.0,13.0,43.0,20.0,8.0,129.0
WDR20,32.0,12.0,18.0,30.0,34.0,128.0
WDR33,30.0,17.0,13.0,31.0,34.0,132.0
WDR36,18.0,12.0,37.0,46.0,24.0,142.0
WDR44,28.0,35.0,46.0,23.0,37.0,165.0
WDR45,26.0,15.0,13.0,57.0,18.0,139.0
WDR5,38.0,24.0,21.0,26.0,21.0,134.0
WDR60,15.0,11.0,15.0,17.0,37.0,103.0
WDR62,22.0,14.0,33.0,29.0,33.0,130.0
WDR7,16.0,16.0,68.0,29.0,23.0,153.0
WDR74,26.0,13.0,35.0,66.0,26.0,164.0
WDR83,39.0,30.0,23.0,20.0,24.0,140.0
WFS1,11.0,15.0,16.0,13.0,38.0,97.0
WIPI1,19.0,12.0,51.0,23.0,17.0,130.0
WRAP53,21.0,18.0,27.0,68.0,21.0,157.0
WRN,20.0,16.0,38.0,26.0,19.0,136.0
WTAP,19.0,11.0,24.0,26.0,41.0,123.0
WWC2,20.0,19.0,37.0,29.0,15.0,125.0
WWC3,20.0,28.0,26.0,28.0,13.0,117.0
XAGE1B,14.0,12.0,25.0,15.0,34.0,101.0
XAGE1E,24.0,13.0,13.0,28.0,38.0,122.0
XPO6,34.0,24.0,25.0,28.0,37.0,159.0
XRCC5,40.0,31.0,19.0,34.0,16.0,141.0
XRCC6,24.0,25.0,35.0,54.0,23.0,165.0
XYLT1,14.0,13.0,19.0,17.0,36.0,120.0
YAP1,29.0,55.0,16.0,13.0,14.0,137.0
YBX1,32.0,12.0,28.0,15.0,54.0,152.0
YBX3,23.0,19.0,33.0,46.0,38.0,151.0
YEATS4,40.0,26.0,20.0,18.0,23.0,122.0
YIF1A,21.0,24.0,14.0,20.0,10.0,94.0
YIF1B,17.0,10.0,25.0,59.0,17.0,129.0
YIPF6,37.0,24.0,20.0,41.0,20.0,148.0
YPEL1,25.0,15.0,22.0,33.0,37.0,147.0
YPEL3,32.0,20.0,38.0,29.0,19.0,154.0
YTHDC1,38.0,19.0,33.0,48.0,17.0,160.0
YWHAG,21.0,9.0,54.0,25.0,20.0,143.0
YY1,21.0,15.0,19.0,34.0,32.0,128.0
YY2,22.0,18.0,40.0,54.0,16.0,152.0
ZBED4,51.0,26.0,20.0,26.0,22.0,150.0
ZBTB17,14.0,11.0,13.0,23.0,48.0,111.0
ZBTB39,47.0,19.0,20.0,41.0,19.0,160.0
ZBTB7A,13.0,10.0,14.0,19.0,33.0,95.0
ZBTB8OS,22.0,20.0,35.0,56.0,12.0,152.0
ZC3H12A,37.0,13.0,17.0,23.0,29.0,119.0
ZC3H12D,16.0,12.0,20.0,11.0,33.0,101.0
ZC3H3,22.0,9.0,42.0,33.0,35.0,147.0
ZC3HAV1L,23.0,11.0,26.0,31.0,59.0,161.0
ZCCHC14,20.0,13.0,31.0,26.0,35.0,131.0
ZCCHC23,50.0,35.0,23.0,21.0,12.0,140.0
ZCCHC8,26.0,11.0,21.0,16.0,34.0,118.0
ZCCHC9,24.0,17.0,23.0,67.0,25.0,158.0
ZDHHC16,12.0,8.0,15.0,88.0,12.0,138.0
ZDHHC17,18.0,15.0,22.0,32.0,36.0,118.0
ZDHHC3,10.0,12.0,22.0,14.0,33.0,98.0
ZDHHC5,24.0,10.0,22.0,22.0,34.0,115.0
ZEB1,18.0,15.0,41.0,27.0,31.0,142.0
ZER1,23.0,13.0,18.0,75.0,24.0,161.0
ZFC3H1,29.0,13.0,57.0,21.0,18.0,134.0
ZFP1,29.0,24.0,11.0,15.0,11.0,93.0
ZFP14,25.0,20.0,60.0,43.0,14.0,165.0
ZFP28,21.0,14.0,20.0,54.0,25.0,145.0
ZFP36,16.0,12.0,29.0,56.0,16.0,128.0
ZFP36L1,37.0,15.0,36.0,39.0,26.0,158.0
ZFPM1,19.0,13.0,14.0,17.0,44.0,111.0
ZFYVE1,36.0,29.0,22.0,42.0,12.0,142.0
ZFYVE9,23.0,13.0,29.0,42.0,34.0,145.0
ZKSCAN3,10.0,17.0,14.0,16.0,76.0,136.0
ZMPSTE24,18.0,26.0,29.0,20.0,19.0,118.0
ZMYM4,27.0,39.0,28.0,21.0,13.0,130.0
ZMYND10,43.0,18.0,22.0,25.0,18.0,129.0
ZMYND19,36.0,59.0,24.0,15.0,23.0,156.0
ZNF101,22.0,24.0,22.0,47.0,32.0,149.0
ZNF114,26.0,28.0,29.0,33.0,18.0,138.0
ZNF140,16.0,14.0,15.0,19.0,41.0,111.0
ZNF155,21.0,20.0,17.0,57.0,11.0,126.0
ZNF174,51.0,23.0,25.0,37.0,12.0,163.0
ZNF175,21.0,10.0,19.0,19.0,52.0,130.0
ZNF2,21.0,13.0,23.0,65.0,29.0,161.0
ZNF211,40.0,16.0,26.0,20.0,12.0,116.0
ZNF213,41.0,14.0,27.0,12.0,20.0,114.0
ZNF219,58.0,25.0,10.0,15.0,17.0,132.0
ZNF221,19.0,17.0,37.0,18.0,41.0,139.0
ZNF222,33.0,25.0,17.0,27.0,10.0,111.0
ZNF224,21.0,21.0,39.0,58.0,25.0,166.0
ZNF236,15.0,14.0,41.0,34.0,38.0,146.0
ZNF256,41.0,21.0,20.0,31.0,18.0,138.0
ZNF273,28.0,29.0,16.0,19.0,17.0,119.0
ZNF286B,22.0,25.0,22.0,28.0,22.0,118.0
ZNF319,21.0,15.0,38.0,15.0,12.0,104.0
ZNF322,26.0,14.0,20.0,56.0,17.0,140.0
ZNF324,23.0,22.0,26.0,25.0,32.0,130.0
ZNF335,17.0,18.0,37.0,26.0,14.0,112.0
ZNF337,24.0,16.0,33.0,29.0,43.0,150.0
ZNF346,18.0,12.0,26.0,15.0,40.0,120.0
ZNF404,26.0,13.0,18.0,58.0,24.0,139.0
ZNF407,16.0,11.0,12.0,54.0,10.0,113.0
ZNF416,15.0,13.0,13.0,21.0,36.0,101.0
ZNF426,13.0,21.0,27.0,64.0,20.0,154.0
ZNF461,17.0,12.0,17.0,20.0,34.0,116.0
ZNF507,15.0,15.0,50.0,44.0,22.0,145.0
ZNF511,34.0,28.0,26.0,39.0,11.0,140.0
ZNF512B,17.0,12.0,23.0,74.0,17.0,152.0
ZNF525,15.0,13.0,27.0,26.0,32.0,116.0
ZNF526,12.0,11.0,22.0,24.0,40.0,128.0
ZNF529,39.0,23.0,19.0,31.0,17.0,138.0
ZNF540,40.0,25.0,29.0,34.0,23.0,155.0
ZNF551,12.0,13.0,18.0,64.0,12.0,122.0
ZNF555,15.0,12.0,17.0,53.0,11.0,112.0
ZNF56,46.0,36.0,24.0,14.0,11.0,130.0
ZNF572,33.0,36.0,17.0,23.0,13.0,129.0
ZNF584,16.0,14.0,76.0,32.0,22.0,156.0
ZNF586,17.0,11.0,14.0,23.0,41.0,121.0
ZNF596,18.0,12.0,14.0,34.0,35.0,119.0
ZNF598,20.0,12.0,26.0,18.0,39.0,127.0
ZNF627,21.0,25.0,25.0,42.0,15.0,137.0
ZNF658,22.0,15.0,37.0,33.0,35.0,142.0
ZNF710,19.0,10.0,15.0,51.0,36.0,141.0
ZNF746,29.0,48.0,18.0,16.0,16.0,128.0
ZNF75A,14.0,13.0,15.0,67.0,31.0,143.0
ZNF765-ZNF761,29.0,17.0,29.0,42.0,34.0,148.0
ZNF766,18.0,15.0,21.0,58.0,17.0,133.0
ZNF79,17.0,21.0,63.0,22.0,21.0,141.0
ZNF793,21.0,11.0,18.0,22.0,49.0,121.0
ZNF805,46.0,37.0,24.0,29.0,18.0,163.0
ZNF827,50.0,28.0,19.0,29.0,21.0,145.0
ZNF850,23.0,10.0,16.0,60.0,17.0,137.0
ZNF879,12.0,11.0,15.0,53.0,13.0,115.0
ZNF891,41.0,23.0,20.0,26.0,13.0,129.0
ZNF91,38.0,20.0,25.0,31.0,39.0,162.0
ZRANB3,20.0,14.0,13.0,35.0,32.0,120.0
ZSCAN26,27.0,10.0,20.0,62.0,17.0,145.0
ZSWIM1,21.0,13.0,36.0,55.0,17.0,153.0
ZSWIM3,16.0,12.0,16.0,65.0,28.0,158.0
ZXDA,11.0,13.0,26.0,19.0,50.0,122.0
ZYX,29.0,23.0,31.0,30.0,46.0,159.0
